TRAIN_WEEKS,FILTER_BASE_FEATURES,ADDED_FEATURES,TRAIN_CANDIDATE_METHODS,TEST_CANDIDATE_METHODS,MISSING_CANDIDATE_METHOD,N_ESTIMATORS,K,PREDICTION_ACCURACY,MAP_SCORE,PUBLIC_SCORE
3,[],"['weekly_rank', 'price_sensitivity']","[{'type': 'weekly_bestsellers', 'k': 12}]","[{'type': 'weekly_bestsellers', 'k': 12}]","{'type': 'weekly_bestsellers', 'k': 12}",8,12,0,0.0034476733163149,0.00709
3,[],['weekly_rank'],"[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","{'type': 'weekly_bestsellers', 'k': 12}",8,12,0,0.0245956608440838,0.02035
3,[],['weekly_rank'],"[{'type': 'weekly_bestsellers', 'k': 12}]","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","{'type': 'weekly_bestsellers', 'k': 12}",8,12,0,0.0243375890634741,0.02018
3,[],['weekly_rank'],"[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","[{'type': 'weekly_bestsellers', 'k': 12}]","{'type': 'weekly_bestsellers', 'k': 12}",8,12,0,0.0080610397949076,0.00718
3,[],"['weekly_rank', 'all_time_rank']","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","{'type': 'weekly_bestsellers', 'k': 12}",8,12,0,0.024964312034301217,0.01989
3,[],"['weekly_rank', 'has_promotion']","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","{'type': 'weekly_bestsellers', 'k': 12}",8,12,0,0.024590896867874138,0.02035
3,[],"['weekly_rank', 'has_promotion', 'price_sensitivity']","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","{'type': 'weekly_bestsellers', 'k': 12}",8,12,0,0.024985338011062605,0.02023
3,[],"['weekly_rank', 'all_time_rank', 'price_sensitivity', 'has_promotion']","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","{'type': 'weekly_bestsellers', 'k': 12}",8,12,0,0.025054425204346725,0.02015
3,[],['weekly_rank'],"[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","{'type': 'weekly_bestsellers', 'k': 12}",1,12,0,0.024772381977472127,0.02029
10,[],['weekly_rank'],"[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","{'type': 'weekly_bestsellers', 'k': 12}",8,12,0,0.025556242442512034,0.02089
3,[],['weekly_rank'],"[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","{'type': 'weekly_bestsellers', 'k': 12}",8,12,0.5,0.023252428530773077,0.01876
3,[],['weekly_rank'],"[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","{'type': 'weekly_bestsellers', 'k': 12}",8,12,0.9,0.008777453955407494,0.00713
3,[],['weekly_rank'],"[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","{'type': 'weekly_bestsellers', 'k': 12}",8,12,0.1,0.023305324010869065,0.01884
3,[],['weekly_rank'],"[{'type': 'all_time_bestsellers', 'k': 20}, {'type': 'previous_purchases', 'k': 12}]","[{'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","{'type': 'weekly_bestsellers', 'k': 12}",8,12,0.0,0.011189013545383009,0.00873
3,[],['weekly_rank'],"[{'type': 'all_time_bestsellers', 'k': 20}, {'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","[{'type': 'all_time_bestsellers', 'k': 20}, {'type': 'weekly_bestsellers', 'k': 12}, {'type': 'previous_purchases', 'k': 12}]","{'type': 'weekly_bestsellers', 'k': 12}",8,12,0.0,0.024747541370581008,0.02018
